org_name,total_bills,support_bills,oppose_bills,support_if_amended_bills,oppose_unless_amended_bills
ACLU,364,172,180,3,14
CaliforniaHealth+ Advocates,194,193,1,0,0
Flasher/Barricade Association,192,129,66,0,1
Employees (AFSCME),161,150,11,0,0
American Legion-Department of California,131,125,6,0,0
The Education Trust - West,116,105,11,0,0
GOVERNOR'S VETO MESSAGE,111,32,79,0,0
California Association,107,106,1,0,0
Service Employees International Union California,103,94,9,0,0
California Attorneys for Criminal Justice (CACJ),99,15,84,0,0
Randy Chinn,99,0,99,0,0
East Bay YIMBY,95,91,4,0,0
350 Humboldt: Grass Roots Climate Action,89,79,10,2,2
California Federation of Teachers (CFT),88,78,10,0,0
A New Way of Life Reentry Project,87,79,8,0,0
Santa Rosa YIMBY,81,77,4,0,0
"Service Employees International Union, California",81,74,7,0,0
East Bay Yimby,78,77,1,0,0
Association of California Insurance Companies (ACIC),77,44,33,0,0
Santa Rosa Yimby,73,69,4,0,0
David Felderstein,63,35,29,0,0
(Unable to re-verify at time of writing),60,60,19,0,0
"Public Risk Innovation, Solutions, and Management (PRISM)",60,13,45,0,3
Arguments,58,8,0,47,5
California Association of Clerks and Election Officials (CACEO),55,45,8,0,2
Attorney General of California,54,45,8,0,1
350 Conejo / San Fernando Valley,53,46,6,1,1
Asian Americans Advancing Justice-southern California,53,50,3,0,0
"American Council of Engineering Companies, California",51,30,21,0,2
Associated Builders and Contractors - San Diego Chapter,51,16,35,0,0
Asian Americans Advancing Justice - Los Angeles,49,46,3,0,0
Asian Americans Advancing Justice-Southern California,49,45,3,0,1
Sacramento County District Attorney,47,34,14,0,0
Stockton,47,33,23,0,0
Catalyst California,46,44,2,0,0
Military Officers Association of America - California Council of Chapters,46,46,0,0,0
Californiahealth+ Advocates,44,44,0,0,0
PATH,43,39,4,0,0
Progressive Zionists of California,43,43,0,0,0
American Nurses Association\California,42,36,6,0,0
"Election Integrity Project California, Inc",42,13,26,1,2
California Bankers Association (CBA),39,17,21,0,1
California Labor Federation (CLF),39,32,7,0,0
American Subcontractors Association of California,38,30,9,0,0
Asian Pacific Environmental Network (APEN),38,28,8,1,1
American Legion- Department of California,37,37,0,0,0
Clean Water Action California,37,29,8,0,0
"Physicians for Social Responsibility, San Francisco Bay Area Chapter",37,34,3,1,1
Veterans Caucus of the California Democratic Party,37,36,2,0,0
a number of individuals,36,33,5,0,0
Individual letter (1),36,23,14,0,0
California Labor Federation (AFL-CIO),35,17,18,0,1
Pomona Police Officer Association,35,26,9,0,0
Poway,35,20,21,0,0
San Jose-evergreen Community College District,35,33,2,0,0
Vietnam Veterans of America- California State Council,35,35,0,0,0
California State University Employees Union (CSUEU),34,33,1,0,0
Individual letter,34,26,9,0,0
Long Beach,34,23,11,0,0
Neutral,34,26,5,4,0
sponsor,34,33,1,0,0
(Unable to re-verify at time of this writing),33,32,19,0,0
Counties of,33,27,7,0,0
California Retailers Associaiton,32,7,24,0,1
Moreno Valley,32,17,15,0,0
Several individual letters,32,25,8,0,0
"League of California Cities, Los Angeles County Division",31,25,6,0,0
"Orange County Professional Firefighters Association, Local 3631",31,29,2,1,0
for the Aging,30,26,4,1,0
Lawrence Lingbloom,30,0,30,0,0
No known,30,5,25,0,0
Office,30,24,6,2,0
San Francisco,30,26,4,0,0
Health plans and insurers,29,0,28,0,1
Housing Now! CA,29,27,2,0,1
Individual letters (2),29,18,13,0,0
Asian Americans Advancing Justice-California,28,26,2,0,0
California Attorneys for,28,4,24,0,0
Napa,28,24,4,0,0
Opposition (unless amended),28,28,0,0,0
PODER,28,22,5,0,1
Tustin,28,18,12,0,0
"Family Law Section, State Bar of California",27,23,2,2,0
Numerous individual letters,27,25,4,0,0
Sonoma County District Attorney,27,26,2,0,0
Corporation,26,23,4,0,0
Judges,26,11,15,0,0
Judicial Council of CA,26,19,11,0,0
which,26,17,3,0,6
American Federation of,25,25,0,0,0
Cupertino,25,14,12,0,0
Modesto,25,15,13,0,0
Trusts and Estates Section of the State Bar of California,25,21,4,0,0
Action Now,24,13,8,0,3
Assoc,24,19,13,0,1
Department of California,24,24,0,0,0
Disabilities,24,20,4,0,1
League,24,17,7,0,0
(unable to re-verify at time of this writing),23,23,13,0,0
Association for Los Angeles County Deputy Sheriffs,23,22,1,0,0
Concord,23,12,12,0,0
Contra Costa,23,17,6,0,0
Hundreds of individuals,23,17,10,0,0
Marin,23,16,8,0,0
Oakland,23,21,3,0,0
Program,23,19,5,0,0
Tulare,23,9,13,0,1
Valley,23,19,4,0,0
write,23,21,2,0,0
amended,22,9,13,0,0
Assembly votes,22,12,10,0,0
Concern,22,13,7,1,2
North San Diego Business Chamber,22,6,16,1,0
