Oakland African American Chamber Political Action Committee	Oakland African American Chamber of Commerce	Oakland AA Chamber
Oakland/Alameda Firefighters Local 55	Oakland Firefighters Local 55	IAFF Local 55
OCA - East Bay	Asian Pacific American Advocates - East Bay Chapter	OCA
OCA Sacramento, Asian Pacific American Advocates	Oca Sacramento - Asian Pacific American Advocates	OCA
OCA- Sacramento Chapter	Oca Sacramento - Asian Pacific American Advocates	OCA
OCA-Asian Pacific American Advocates - San Francisco Chapter	Asian Pacific American Advocates: San Francisco Chapter	OCA
Oceanside Firefighters Association. Local 3736	Oceanside Firefighters Association Steve Miller	Oceanside FF
of California (PORAC)	Peace Officers Research Association of California (PORAC)	PORAC
of California American Civil Liberties Union	American Civil Liberties Union	ACLU
of Hearing, California Chapter (CA AG Bell)	Alexander Graham Bell Association for the Deaf and Hard of Hearing (AG Bell)	AG Bell
of Independent Business, Inc., Southern California	NATIONAL FEDERATION OF INDEPENDENT BUSINESS	NFIB
of Rural Counties (RCRC)	RURAL COUNTY REPRESENTATIVES OF CALIFORNIA	alternate_spelling
of Safety Engineers	Safety Engineers	alternate_spelling
of San Bernardino Sheriffos Office	San Bernardino County Sheriff's Office	alternate_spelling
of Santa Clara, Santa Clara Valley Transportation Authority	SANTA CLARA VALLEY TRANSPORTATION AUTHORITY	alternate_spelling
of Savings Institutions	CALIFORNIA LEAGUE OF SAVINGS INSTITUTIONS	alternate_spelling
of Services for the Aging	CALIFORNIA ASSOCIATION OF HOMES AND SERVICES FOR THE AGING	alternate_spelling
of Shasta Lake	City of Shasta Lake	alternate_spelling
of Social Workers	NATIONAL ASSOCIATION OF SOCIAL WORKERS	alternate_spelling
of South Gate Police Department	South Gate Police Department	alternate_spelling
of St Mark's United Methodist Church in Sacramento	St. Mark's United Methodist Church, Sacramento	alternate_spelling
of St. Mark's United Methodist Church, Sacramento	St. Mark's United Methodist Church, Sacramento	alternate_spelling
of State, County and Municipal Employees	American Federation of State, County and Municipal Employees (AFSCME)	alternate_spelling
of State, County and Municipal Employees, AFSCME	American Federation of State, County and Municipal Employees (AFSCME)	alternate_spelling
of the American Planning Association	AMERICAN PLANNING ASSOCIATION	alternate_spelling
of the American Planning Association (APA)	AMERICAN PLANNING ASSOCIATION	alternate_spelling
of the Board of Equalization	Board of Equalization (BOE)	alternate_spelling
of the California Community Colleges	CALIFORNIA COMMUNITY COLLEGES	alternate_spelling
of the Community College League	COMMUNITY COLLEGE LEAGUE OF CALIFORNIA	alternate_spelling
of the Department of Alcohol & Drug Programs	Department of Alcohol and Drug Programs	alternate_spelling
of the Judicial Council	CALIFORNIA JUDICIAL COUNCIL	alternate_spelling
of the National Association of Colored People	National Association for the Advancement of Colored People (NAACP)	alternate_spelling
of the Women's Policy Institute	California/Women's Policy Institute	alternate_spelling
of Tulare & Kings Counties, Business, Industry	Business, Industry & Government Coalition, Tulare & Kings Counties	alternate_spelling
of Walnut Creek, Contra Costa Council, Industrial	Contra Costa Council (private organization)	alternate_spelling
Off-Line Independent Energy Systems	Off-Line Independent Energy Systems, North Fork	alternate_spelling
Off-Road Vehicle Association and other off-road vehicle	California Off-road Vehicle Association	alternate_spelling
Off-Road Vehicle Legislative Coalition (Coalition)	OFF ROAD VEHICLE LEGISLATIVE COALITION	alternate_spelling
OfferUp [an online classified marketplace	OfferUp	alternate_spelling
Office of Attorney General (amendments requested)	Attorney General, State of California	alternate_spelling
Office of Child Development and Education (as of previous amended version)	GOVERNOR'S OFFICE OF CHILD DEVELOPMENT AND EDUCATION	alternate_spelling
Office of Criminal Justice Planning (OCJP - sponsor)	OFFICE OF CRIMINAL JUSTICE PLANNING	alternate_spelling
office of Darrell Steinberg	CITY OF SACRAMENTO	alternate_spelling
Office of Emergency Services 6/19/97	California Office of Emergency Services	alternate_spelling
Office of Foreign Trade, Economic Development Agency for the County of Riverside (Joint - Sponsor)	Office of Foreign Trade, Economic Development Agency for the County of Riverside	alternate_spelling
Office of Information Services within the department	DEPARTMENT OF CONSUMER AFFAIRS	alternate_spelling
Office of Insurance Advisor, State and Consumer Services Agency	Office of Insurance Advisor, State and Consumer Services	alternate_spelling
Office of Insurance Advisor: Department of Corporations	OFFICE OF INSURANCE ADVISOR	alternate_spelling
Office of Kern County Superintendent of Schools (committee	KERN COUNTY SUPERINTENDENT OF SCHOOLS	alternate_spelling
Office of Mario Trujillo, Mayor Pro Tem Downey	CITY OF DOWNEY	alternate_spelling
Office of Mayor Gayle McLaughlin	CITY OF RICHMOND	alternate_spelling
Office of Mayor Pro Tem Eric Guerra	CITY OF SACRAMENTO	alternate_spelling
Office of Professional Employees International	Office & Professional Employees International	alternate_spelling
Office Of Ratepayer Advocates (ORA)	Office of Ratepayer Advocates (ORA) of the California Public Utilities Commission	alternate_spelling
Office of Ratepayer Advocates, CPUC	Office of Ratepayer Advocates (ORA) of the California Public Utilities Commission	alternate_spelling
Office of Real Estate Appraisers (OREA - sponsor)	OFFICE OF REAL ESTATE APPRAISERS	alternate_spelling
Office of San Diego County District Attorney	District Attorneys	alternate_spelling
Office of San Diego County District Attorney Summer Stephan	District Attorneys	alternate_spelling
Office of San Francisco District Attorney Kamala D. Harris	District Attorneys	alternate_spelling
Office of San Francisco District Attorney Kamala Harris	District Attorneys	alternate_spelling
Office of San Francisco District Attorney, Kamala D. Harris	District Attorneys	alternate_spelling
Office of the Attorney General (2/26/98)	ATTORNEY GENERAL	alternate_spelling
Office of the Attorney General (Section 5)	ATTORNEY GENERAL	alternate_spelling
Office of the Attorney General (Sponsor - Insolvency proceedings)	ATTORNEY GENERAL	alternate_spelling
Office of the Attorney General (sponsor - seller of business opportunities provision)	ATTORNEY GENERAL	alternate_spelling
Office of the Attorney General - Oppose	ATTORNEY GENERAL	alternate_spelling
Office of the Attorney General Bill Lockyer (as amended March 21, 2006)	ATTORNEY GENERAL	alternate_spelling
Office of the Chancellor University of California	University of California	alternate_spelling
Office of the Contra Costa County District Attorney	District Attorneys	alternate_spelling
Office of the District Attorney County of Kern	District Attorneys	alternate_spelling
Office of the District Attorney County of San Diego	District Attorneys	alternate_spelling
Office of the District Attorney County of Shasta	District Attorneys	alternate_spelling
Office of the District Attorney County of Tulare	District Attorneys	alternate_spelling
Office of the District Attorney for the City and County of San Francisco	District Attorneys	alternate_spelling
Office of the District Attorney in Tulare County	District Attorneys	alternate_spelling
Office of the District Attorney of Sacramento County, Jan Scully	District Attorneys	alternate_spelling
Office of the District Attorney of San Diego	District Attorneys	alternate_spelling
Office of the District Attorney of San Joaquin County	District Attorneys	alternate_spelling
Office of the District Attorney of Santa Cruz County	District Attorneys	alternate_spelling
Office of the District Attorney of Sonoma County	District Attorneys	alternate_spelling
Office of the District Attorney of Stanislaus County	District Attorneys	alternate_spelling
Office of the District Attorney of the County of Sonoma	District Attorneys	alternate_spelling
Office of the District Attorney, City & County of San Francisco	San Francisco District Attorney	alternate_spelling
Office of the District Attorney, Fresno County	District Attorneys	alternate_spelling
Office of the District Attorney, Humboldt County	District Attorneys	alternate_spelling
Office of the District Attorney, Riverside County	District Attorneys	alternate_spelling
Office of the District Attorney, San Bernardino	District Attorneys	alternate_spelling
Office of the Governor (prior version)	GOVERNOR'S OFFICE	alternate_spelling
Office of the Governor [SPONSOR] None on file	GOVERNOR'S OFFICE	alternate_spelling
Office of the Insurance Advisor (as of 6/11/98 version and is presently reassessing that position)	Office of the Insurance Advisor, State and Consumer	alternate_spelling
Office of the Insurance Advisor (prior version)	Office of the Insurance Advisor, State and Consumer	alternate_spelling
Office of the Insurance Advisor (to earlier version of the bill)	Office of the Insurance Advisor, State and Consumer	alternate_spelling
Office of the jPublic Defender, Marin County	Marin County Public Defender's Office	alternate_spelling
Office of the Orange County District Attorney	District Attorneys	alternate_spelling
Office of the San Diego County District Attorney's Office	San Diego County District Attorney	alternate_spelling
Office of the Secretary for Education (as of previous amended version)	Secretary for Education	alternate_spelling
Office of the Secretary for Education (oppose unless amend)	Secretary for Education	alternate_spelling
Office of the Secretary of Educatoin	Secretary of Education	alternate_spelling
