component,bucket,occurrences,source_rows
Abatement District,FRAGMENT,1,2165
Advancement Foundation,FRAGMENT,1,2200
"Amador County Auditor-Controller Tacy Oneto Rouen, Calaveras County Auditor-Controller Rebecca Callen, Kern County Auditor-Controller Mary Bedard, Lassen County Auditor-Controller Diana Wemple, Mendocino County Auditor-Controller Lloyd Weer, Napa County Auditor-Controller Tracy Schulze, Orange County Auditor-Controller Eric Woolery, San Benito County Auditor-Controller Joe Paul Gonzalez, San Bernardino County Auditor-Controller/Treasurer/Tax Collector Oscar Valdez, Tehama County Auditor-Controller LeRoy M. Anderson, Yuba County Auditor-Controller Richard Eberle, California Association of County Treasurers and Tax Collectors, State Association of County Auditors",ORG,1,8810
"America's Edge, Bay Area Council, California Association of Regional Occupational Programs and Centers, California Chamber of Commerce, Metropolitan Education District, Sacramento City Unified School District, San Bernardino County District Advocates for Better Schools, San Francisco",ORG,1,8811
American Diabetes Association Association for Clinical Oncology Association of Northern California Oncologists California Academy of Child and Adolescent Psychiatry California Association of Medical Product Suppliers California Behavioral Health Association California Chapter American College of Cardiology California Chronic Care Coalition California Collaborative for Long-Term Services and,ORG,1,8814
"American Electronics Assoc., Atlantic Richfield Co. (ARCO), California Council for Environmental and Economic Balance, California Trucking Assoc. (CTA), Chemical Industry Council of CA, Chevron Corp., Erickson Environmental, Evergreen Oil Inc., GWF",ORG,1,8815
"American Electronics Association, League of California Cities, Calif. State Assn. of Counties, Calif. Assn. of Sanitation Agencies, Western States Petroleum Assn., Smurfit-Stone",ORG,1,8816
American Federation of State County & Municipal Employees (AFSCME California Chamber of Commerce Consulting Engineers & Land Surveyors of (CA ELSOC) Delon Hampton & Associates Semiconductor Equipment & Materials International),ORG,1,8817
"American Federation of State, County and Municipal Employees (AFL-CIO California State Association of Electrical Workers California State Pipe Trades Council California Teamsters Public Affairs Council Western Council of Sheet Metal Workers)",ORG,1,8818
"American Federation of State, County, and Municipal Employees, AFL-CIO, North State Building Industry Association, California Association of Councils of Governments, California-Nevada Conference of Operating Engineers , California Transportation Commission",ORG,1,8819
"American Federation of State, County, and Municipal Employees, California League of Conservation Voters, Californians for Alternatives to Toxics, Planning and Conservation League, San Francisco, Sierra Club",ORG,1,8820
American Federation of Television and (McClintock) continued: AFL-CIO,ORG,1,8821
American Insurance Association Relations Protection Association Legislative American Association,ORG,1,8823
California,FRAGMENT,27,4248 4249 4250 4251 4252 4253 4254 4255 4256 4257 4258 4259 4260 4261 4262 4263 4264 4265 4266 4267 4268 4269 4270 4273 4274 7331 7339
California Affordable Housing Coalition for Persons with Developmental Disabilities and Becoming,ORG,1,8912
California Assoc,FRAGMENT,1,4056
California Association,FRAGMENT,1,4248
California Association for Health,ORG,2,2463 6542
California Association of,ORG,1,3831
California Breast,FRAGMENT,1,7053
California Building,FRAGMENT,2,3862 7236
California Business,FRAGMENT,1,3528
California Communities,FRAGMENT,1,7248
California Council,FRAGMENT,1,3686
California Film,FRAGMENT,1,3596
California Fire,FRAGMENT,2,3543 3979
"California Immigrant Policy Center (CIPC Children's Defense Fund - California Coalition of California Welfare Rights Organizations, Inc. County Welfare Directors Association of CA (CWDA) Courage Campaign Ella Baker Center for Human Rights Hunger Action Los Angeles National Association of Social Workers, CA Chapter (NASW-CA) Saint Anthony's Foundations Western Center on Law and Poverty)",ORG,1,8957
California Judges WomenChildren's Rights Council CommitteeVarious individuals,ORG,1,8958
California League,FRAGMENT,1,3824
"California Legislative Black Caucus (including Assembly Members Mitchell, Bradford, Weber, Jones-Sawyer, Hall, Holden, and Brown California State Conference of the National Association for the Advancement of Colored People California Urban Partnership Cestra Butner, President, Oakland Board of Pilot Commissioners Compton Branch of the National Association for the Advancement of Colored People Golden State Medical Association of California Green Technical Education and Employment Omega Psi Phi Fraternity Pasadena Branch of the National Association for the Advancement of Colored People Ryan McCreary, President, Gamma Chi Lambda Chapter, Alpha Phi Alpha Fraternity, Inc. San Francisco African American Chamber of Commerce San Gabriel Valley Branch of the National Association for the Advancement of Colored People San Mateo Branch of the National Association for the Advancement of Colored People)",ORG,1,8959
California Public,FRAGMENT,1,4104
California Small,FRAGMENT,1,4064
California State,FRAGMENT,5,3621 4166 4174 4175 6758
California Therapeutic,FRAGMENT,1,3566
California Waste,FRAGMENT,1,7801
Center,FRAGMENT,1,3639
Center for,FRAGMENT,2,3733 3734
"Chiefs of Police: Los Altos, Los Gatos, Milpitas, Monte Sereno, San Jose",ORG,1,1829
Children's Foundation,FRAGMENT,1,3346
City,FRAGMENT,1,4249
"Clark Terrace and Clark Terrace II, Norco",ORG,1,5093
Climate Alliance,FRAGMENT,1,1661
Climate Hub,FRAGMENT,1,5108
Club of Pleasanton,ORG,1,5120
Community,FRAGMENT,1,7290
Community Colleges,FRAGMENT,1,5213
Community Living,FRAGMENT,1,1832
Concern,FRAGMENT,1,2321
Consumer League,FRAGMENT,1,5291
Consumers for,FRAGMENT,1,7028
Contra,FRAGMENT,1,7090
County Sanitation,FRAGMENT,1,5051
Dairy,FRAGMENT,1,7318
Defense Council,FRAGMENT,6,25 5634 5635 5636 5637 5638
Defense Fund,FRAGMENT,1,5640
Energy Network,FRAGMENT,1,5881
Environmental,FRAGMENT,1,7281
Environmental Justice,FRAGMENT,1,4260
Henry and Thelma Pombo,ORG,1,6564
In School On Track,ORG,1,6289
Legal Aid of San,ORG,1,3892
Los Angeles Business,ORG,1,3553
Mahu,FRAGMENT,1,6797
Marine,FRAGMENT,1,7119
Marine Association,FRAGMENT,1,6836
Mayors' Association,FRAGMENT,1,1578
Medical Society,FRAGMENT,1,6870
Mission,FRAGMENT,1,6496
Municipal,FRAGMENT,2,6943 6944
National,FRAGMENT,1,7335
National Epilepsy,FRAGMENT,1,3881
National Food,FRAGMENT,1,7196
Natural Heritage,FRAGMENT,2,755 7375
Oak Center,FRAGMENT,1,1660
Orange,FRAGMENT,1,6817
Organizing Project,FRAGMENT,2,7122 7123
Pacific,FRAGMENT,1,5233
Pasadena,FRAGMENT,1,6773
Petroleum,FRAGMENT,1,7202
Pharmaceuticals,FRAGMENT,1,7206
Pharmaceuticals Incorporated,FRAGMENT,1,7205
