component,bucket,occurrences,source_rows
Abatement District,FRAGMENT,1,2165
Advancement Foundation,FRAGMENT,1,2200
"Amador County Auditor-Controller Tacy Oneto Rouen, Calaveras County Auditor-Controller Rebecca Callen, Kern County Auditor-Controller Mary Bedard, Lassen County Auditor-Controller Diana Wemple, Mendocino County Auditor-Controller Lloyd Weer, Napa County Auditor-Controller Tracy Schulze, Orange County Auditor-Controller Eric Woolery, San Benito County Auditor-Controller Joe Paul Gonzalez, San Bernardino County Auditor-Controller/Treasurer/Tax Collector Oscar Valdez, Tehama County Auditor-Controller LeRoy M. Anderson, Yuba County Auditor-Controller Richard Eberle, California Association of County Treasurers and Tax Collectors, State Association of County Auditors",ORG,1,8810
"America's Edge, Bay Area Council, California Association of Regional Occupational Programs and Centers, California Chamber of Commerce, Metropolitan Education District, Sacramento City Unified School District, San Bernardino County District Advocates for Better Schools, San Francisco",ORG,1,8811
American Diabetes Association Association for Clinical Oncology Association of Northern California Oncologists California Academy of Child and Adolescent Psychiatry California Association of Medical Product Suppliers California Behavioral Health Association California Chapter American College of Cardiology California Chronic Care Coalition California Collaborative for Long-Term Services and,ORG,1,8814
"American Electronics Assoc., Atlantic Richfield Co. (ARCO), California Council for Environmental and Economic Balance, California Trucking Assoc. (CTA), Chemical Industry Council of CA, Chevron Corp., Erickson Environmental, Evergreen Oil Inc., GWF",ORG,1,8815
"American Electronics Association, League of California Cities, Calif. State Assn. of Counties, Calif. Assn. of Sanitation Agencies, Western States Petroleum Assn., Smurfit-Stone",ORG,1,8816
American Federation of State County & Municipal Employees (AFSCME California Chamber of Commerce Consulting Engineers & Land Surveyors of (CA ELSOC) Delon Hampton & Associates Semiconductor Equipment & Materials International),ORG,1,8817
"American Federation of State, County and Municipal Employees (AFL-CIO California State Association of Electrical Workers California State Pipe Trades Council California Teamsters Public Affairs Council Western Council of Sheet Metal Workers)",ORG,1,8818
"American Federation of State, County, and Municipal Employees, AFL-CIO, North State Building Industry Association, California Association of Councils of Governments, California-Nevada Conference of Operating Engineers , California Transportation Commission",ORG,1,8819
"American Federation of State, County, and Municipal Employees, California League of Conservation Voters, Californians for Alternatives to Toxics, Planning and Conservation League, San Francisco, Sierra Club",ORG,1,8820
American Federation of Television and (McClintock) continued: AFL-CIO,ORG,1,8821
American Insurance Association Relations Protection Association Legislative American Association,ORG,1,8823
"Boeing Company, California Chamber of Commerce, California Healthcare Association, California",ORG,1,8882
Both the American Civil Liberties Union (ACLU) and the Western Center on Law and Poverty (WCLP),ORG,1,8883
"Breast Cancer Fund, California Environmental Rights Alliance, California Communities Against Toxics, California League of Conservation Voters, Del Amo Action Committee, Environment California, National Environmental Trust, Natural Resources Defense Council, Planning and Conservation League, Sierra Club California",ORG,1,8884
"Breeding Farm and Hatchery, Cimms, Inc., Cummins Cal Pacific, Cummins Engine Company, Inc., Cummins West, Diesel Technology Forum, Engine Manufacturers Association, Pacific Egg and Poultry Association, Viking Components",ORG,1,8885
Bristol-Myers Squibb and its subsidiary Mead Johnson Nutritionals,ORG,1,8886
"Broad and Gusman, LLP, on behalf of UNITE-HERE, AFL-CIO, CA Conference of Machinists, Utility Workers of America, International Longshore & Warehouse Union, Engineers and Scientists of CA, IFPTE Local 20, AFL-CIO, Professional & Technical Engineers, IFPTE Local 21, AFL-CIO, CA Conference Board of the Amalgamated Transit Union",ORG,1,8887
Buhai Center for Family Law Diego Volunteer Lawyer,ORG,1,8888
Building Industry Assn. Calif. Business,ORG,1,8889
"Building Owners and Managers Association, California Building Industry Association, Consulting Engineers and Land Surveyors of California, Inland Empire Disposal Association, Los Angeles County Waste Management",ORG,1,8890
"Building and Construction Trades Council, Los Angeles, Orange, Santa Clara, San Benito Counties",ORG,1,976
Burbank Housing Development Corp. Carpenteria,ORG,1,8891
Burton Page California Manufacturers & Technology Association,ORG,1,8892
California,FRAGMENT,27,4248 4249 4250 4251 4252 4253 4254 4255 4256 4257 4258 4259 4260 4261 4262 4263 4264 4265 4266 4267 4268 4269 4270 4273 4274 7331 7339
California Affordable Housing Coalition for Persons with Developmental Disabilities and Becoming,ORG,1,8912
California Assoc,FRAGMENT,1,4056
California Association,FRAGMENT,1,4248
California Association for Health,ORG,2,2463 6542
California Association of,ORG,1,3831
California Breast,FRAGMENT,1,7053
California Building,FRAGMENT,2,3862 7236
California Business,FRAGMENT,1,3528
California Communities,FRAGMENT,1,7248
California Council,FRAGMENT,1,3686
California Film,FRAGMENT,1,3596
California Fire,FRAGMENT,2,3543 3979
"California Immigrant Policy Center (CIPC Children's Defense Fund - California Coalition of California Welfare Rights Organizations, Inc. County Welfare Directors Association of CA (CWDA) Courage Campaign Ella Baker Center for Human Rights Hunger Action Los Angeles National Association of Social Workers, CA Chapter (NASW-CA) Saint Anthony's Foundations Western Center on Law and Poverty)",ORG,1,8957
California Judges WomenChildren's Rights Council CommitteeVarious individuals,ORG,1,8958
California League,FRAGMENT,1,3824
"California Legislative Black Caucus (including Assembly Members Mitchell, Bradford, Weber, Jones-Sawyer, Hall, Holden, and Brown California State Conference of the National Association for the Advancement of Colored People California Urban Partnership Cestra Butner, President, Oakland Board of Pilot Commissioners Compton Branch of the National Association for the Advancement of Colored People Golden State Medical Association of California Green Technical Education and Employment Omega Psi Phi Fraternity Pasadena Branch of the National Association for the Advancement of Colored People Ryan McCreary, President, Gamma Chi Lambda Chapter, Alpha Phi Alpha Fraternity, Inc. San Francisco African American Chamber of Commerce San Gabriel Valley Branch of the National Association for the Advancement of Colored People San Mateo Branch of the National Association for the Advancement of Colored People)",ORG,1,8959
California Public,FRAGMENT,1,4104
California Small,FRAGMENT,1,4064
California State,FRAGMENT,5,3621 4166 4174 4175 6758
California Therapeutic,FRAGMENT,1,3566
California Waste,FRAGMENT,1,7801
Center,FRAGMENT,1,3639
Center for,FRAGMENT,2,3733 3734
"Chief of Police, Signal Hill",ORG,1,4443
"Chief of Police, Winters",ORG,1,4441
"Chiefs of Police: Los Altos, Los Gatos, Milpitas, Monte Sereno, San Jose",ORG,1,1829
Child Care Resource & Referral,ORG,1,9015
"Child Care Resource & Referral, Plumas Rural Services, Inc.",ORG,1,4449
